,결과,통화 코드,송금 받으실때,송금 보낼때,매매기준율,장부가격,서울장부가격,서울매매기준율,국가,국가화폐,날짜
0,1,AED,312.93,319.26,316.1,316,316,316.1,아랍에미리트,디르함,20200113
1,1,AUD,793.37,809.4,801.39,801,801,801.39,호주,달러,20200113
2,1,BHD,"3,048.88","3,110.47","3,079.68",3079,"3,079","3,079.68",바레인,디나르,20200113
3,1,BND,852.54,869.77,861.16,861,861,861.16,브루나이,달러,20200113
4,1,CAD,879.96,897.73,888.85,888,888,888.85,캐나다,달러,20200113
5,1,CHF,"1,180.96","1,204.81","1,192.89",1192,"1,192","1,192.89",스위스,프랑,20200113
6,1,CNH,165.93,169.28,167.61,167,167,167.61,위안화,,20200113
7,1,DKK,170.99,174.44,172.72,172,172,172.72,덴마아크,크로네,20200113
8,1,EUR,"1,277.83","1,303.64","1,290.74",1290,"1,290","1,290.74",유로,,20200113
9,1,GBP,"1,499.33","1,529.62","1,514.48",1514,"1,514","1,514.48",영국,파운드,20200113
10,1,HKD,147.98,150.97,149.48,149,149,149.48,홍콩,달러,20200113
11,1,IDR(100),8.35,8.52,8.44,8,8,8.44,인도네시아,루피아,20200113
12,1,JPY(100),"1,049.33","1,070.52","1,059.93",1059,"1,059","1,059.93",일본,옌,20200113
13,1,KRW,0,0,1,1,1,1,한국,원,20200113
14,1,KWD,"3,783.94","3,860.39","3,822.17",3822,"3,822","3,822.17",쿠웨이트,디나르,20200113
15,1,MYR,281.98,287.67,284.83,284,284,284.83,말레이지아,링기트,20200113
16,1,NOK,129.34,131.95,130.65,130,130,130.65,노르웨이,크로네,20200113
17,1,NZD,762.74,778.15,770.45,770,770,770.45,뉴질랜드,달러,20200113
18,1,SAR,306.35,312.54,309.45,309,309,309.45,사우디,리얄,20200113
19,1,SEK,120.97,123.42,122.2,122,122,122.2,스웨덴,크로나,20200113
20,1,SGD,852.54,869.77,861.16,861,861,861.16,싱가포르,달러,20200113
21,1,THB,38.02,38.79,38.41,38,38,38.41,태국,바트,20200113
22,1,USD,"1,149.48","1,172.71","1,161.1",1161,"1,161","1,161.1",미국,달러,20200113
